"test_id","sample_1","sample_2","status","value_1","value_2","log2.fold_change.","test_stat","p_value","q_value","significant"
"A1BG","WT","EX","OK",4.13289,4.91722,0.250692,0.37001,0.51835,0.807678,"no"
"A1BG-AS1","WT","EX","OK",1.56819,2.3624,0.591154,0.717525,0.2173,0.530373,"no"
"A1CF","WT","EX","NOTEST",0.0053627,0,-Inf,0,1,1,"no"
"A2M","WT","EX","OK",260.875,289.671,0.151055,0.399647,0.4832,0.785596,"no"
"A2M-AS1","WT","EX","OK",0.797995,0.620626,-0.362656,-0.0343668,0.83095,0.954013,"no"
"A2ML1","WT","EX","NOTEST",0.00482447,0,-Inf,0,1,1,"no"
"A2MP1","WT","EX","NOTEST",0.0105635,0,-Inf,0,1,1,"no"
"A3GALT2","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"A4GALT","WT","EX","OK",28.0832,43.8021,0.641292,2.2107,0.00015,0.00187565,"yes"
"A4GNT","WT","EX","NOTEST",0.198894,0.1713,-0.215475,0,1,1,"no"
"AA06","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"AAAS","WT","EX","OK",18.5118,18.2522,-0.0203749,-0.0660534,0.9106,0.978326,"no"
"AACS","WT","EX","OK",5.48907,4.7226,-0.216983,-0.636723,0.26515,0.593914,"no"
"AACSP1","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"AADAC","WT","EX","NOTEST",0.0722933,0.116021,0.682457,0,1,1,"no"
"AADACL2","WT","EX","NOTEST",0.0368859,0.013631,-1.43618,0,1,1,"no"
"AADACL2-AS1","WT","EX","NOTEST",0.0628796,0.067962,0.112138,0,1,1,"no"
"AADACL3","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"AADACL4","WT","EX","NOTEST",0.111357,0.356671,1.67941,0,1,1,"no"
"AADACP1","WT","EX","NOTEST",0.0154852,0,-Inf,0,1,1,"no"
"AADAT","WT","EX","OK",3.09385,2.08874,-0.56677,-1.21427,0.03685,0.166276,"no"
"AAED1","WT","EX","OK",16.7774,31.2243,0.896154,2.75963,5e-05,0.000681395,"yes"
"AAGAB","WT","EX","OK",11.2043,10.9139,-0.0378855,-0.101693,0.85645,0.960118,"no"
"AAK1","WT","EX","OK",2.6299,2.60988,-0.0110265,-0.0373088,0.94705,0.988185,"no"
"AAMDC","WT","EX","OK",25.937,34.3378,0.404789,1.0562,0.0672,0.253539,"no"
"AAMP","WT","EX","OK",34.4963,41.3186,0.26035,0.880819,0.12395,0.377501,"no"
"AANAT","WT","EX","NOTEST",0.0216448,0.0500442,1.20918,0,1,1,"no"
"AAR2","WT","EX","OK",12.2833,14.2701,0.216304,0.704413,0.2231,0.538716,"no"
"AARD","WT","EX","NOTEST",0.0105116,0.110676,3.39628,0,1,1,"no"
"AARS","WT","EX","OK",50.0391,31.9682,-0.64642,-2.18375,1e-04,0.00129829,"yes"
"AARS2","WT","EX","OK",4.91588,2.7053,-0.861659,-2.48852,5e-05,0.000681395,"yes"
"AARSD1","WT","EX","OK",9.84512,8.62234,-0.191329,-0.514514,0.37265,0.700321,"no"
"AASDH","WT","EX","OK",3.69081,3.50107,-0.0761421,-0.206864,0.72195,0.91482,"no"
"AASDHPPT","WT","EX","OK",11.8647,13.4657,0.182615,0.564374,0.3304,0.664304,"no"
"AASS","WT","EX","OK",5.61665,13.9398,1.31143,4.38007,5e-05,0.000681395,"yes"
"AATBC","WT","EX","NOTEST",0.0650619,0.0143086,-2.18493,0,1,1,"no"
"AATF","WT","EX","OK",14.9593,18.5133,0.307519,0.999953,0.08105,0.287771,"no"
"AATK","WT","EX","NOTEST",0.0784171,0.0107175,-2.87121,0,1,1,"no"
"AATK-AS1","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"ABALON","WT","EX","OK",0.961378,1.40084,0.543114,0.248109,0.7494,0.924912,"no"
"ABAT","WT","EX","OK",3.30283,7.69674,1.22055,3.76793,5e-05,0.000681395,"yes"
"ABCA1","WT","EX","OK",32.2305,37.7503,0.228059,0.716995,0.20895,0.517936,"no"
"ABCA10","WT","EX","OK",1.27135,0.645408,-0.978082,-0.95364,0.1025,0.335644,"no"
"ABCA11P","WT","EX","OK",1.68936,1.13735,-0.570799,-0.68168,0.2293,0.547331,"no"
"ABCA12","WT","EX","NOTEST",0.0293167,0.00513282,-2.5139,0,1,1,"no"
"ABCA13","WT","EX","NOTEST",0.0942144,0.0746258,-0.336272,0,1,1,"no"
"ABCA17P","WT","EX","NOTEST",0.0473186,0.00467917,-3.33808,0,1,1,"no"
"ABCA2","WT","EX","OK",8.60954,7.49792,-0.199446,-0.675732,0.244,0.567704,"no"
"ABCA3","WT","EX","OK",1.24245,1.33941,0.108408,0.26766,0.648,0.881386,"no"
"ABCA4","WT","EX","NOTEST",0.132699,0.241119,0.861587,0,1,1,"no"
"ABCA5","WT","EX","OK",2.57448,2.66574,0.0502572,0.117553,0.84375,0.958634,"no"
"ABCA6","WT","EX","OK",13.1366,30.3502,1.20811,4.09475,5e-05,0.000681395,"yes"
"ABCA7","WT","EX","OK",1.34628,0.737459,-0.86834,-1.9334,0.0012,0.0111942,"yes"
"ABCA8","WT","EX","OK",30.8561,36.0675,0.225143,0.752926,0.19605,0.498614,"no"
"ABCA9","WT","EX","OK",13.1856,17.4846,0.407124,1.34804,0.0175,0.0951138,"no"
"ABCA9-AS1","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"ABCB1","WT","EX","OK",1.18967,0.746531,-0.672291,-1.15432,0.04485,0.19045,"no"
"ABCB10","WT","EX","OK",3.82078,5.44969,0.512306,1.46814,0.0106,0.0644904,"no"
"ABCB11","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"ABCB4","WT","EX","OK",0.636208,0.271001,-1.2312,-1.8489,0.00215,0.018069,"yes"
"ABCB5","WT","EX","OK",0.606205,0.214269,-1.50038,-1.4944,0.0099,0.06142,"no"
"ABCB6","WT","EX","OK",6.59907,5.89323,-0.163205,-0.472236,0.40315,0.725164,"no"
"ABCB7","WT","EX","OK",5.58978,5.00769,-0.158649,-0.444333,0.43705,0.752449,"no"
"ABCB8","WT","EX","OK",5.02421,5.04717,0.00657747,0.020444,0.9738,0.992895,"no"
"ABCB9","WT","EX","OK",1.03684,0.657259,-0.657664,-1.10555,0.05145,0.211038,"no"
"ABCC1","WT","EX","OK",41.476,31.8173,-0.382462,-1.26194,0.0286,0.137527,"no"
"ABCC10","WT","EX","OK",4.99769,4.79042,-0.0611092,-0.189286,0.74675,0.92435,"no"
"ABCC11","WT","EX","NOTEST",0.0217633,0.0632502,1.53917,0,1,1,"no"
"ABCC12","WT","EX","NOTEST",0,0.00663741,Inf,0,1,1,"no"
"ABCC13","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"ABCC2","WT","EX","NOTEST",0.10236,0.142978,0.48214,0,1,1,"no"
"ABCC3","WT","EX","OK",2.66201,3.47359,0.383911,0.964219,0.09455,0.31851,"no"
"ABCC4","WT","EX","OK",7.85212,11.8756,0.596846,1.99471,7e-04,0.00716791,"yes"
"ABCC5","WT","EX","OK",9.43219,12.1861,0.369573,1.02465,0.07975,0.284251,"no"
"ABCC5-AS1","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"ABCC6","WT","EX","OK",1.54315,0.666064,-1.21215,-1.08153,0.0558,0.222923,"no"
"ABCC6P1","WT","EX","NOTEST",0.184742,0.061959,-1.57613,0,1,1,"no"
"ABCC6P2","WT","EX","NOTEST",0.361459,0.236717,-0.610666,0,1,1,"no"
"ABCC8","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"ABCC9","WT","EX","OK",4.38412,8.49513,0.954348,2.84961,5e-05,0.000681395,"yes"
"ABCD1","WT","EX","OK",6.90863,7.57268,0.132405,0.418014,0.47935,0.783739,"no"
"ABCD2","WT","EX","NOTEST",0.0115569,0.0123427,0.0949069,0,1,1,"no"
"ABCD3","WT","EX","OK",14.2638,14.5133,0.0250139,0.0831803,0.87935,0.969767,"no"
"ABCD4","WT","EX","OK",7.15488,5.97496,-0.259999,-0.790806,0.17305,0.463624,"no"
"ABCE1","WT","EX","OK",11.9593,14.5814,0.285996,0.920967,0.11495,0.361007,"no"
"ABCF1","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"ABCF2","WT","EX","OK",14.1646,17.4514,0.301055,0.946166,0.10135,0.333317,"no"
"ABCF3","WT","EX","OK",14.1946,12.8643,-0.141977,-0.462362,0.41745,0.737215,"no"
"ABCG1","WT","EX","OK",3.21506,5.34643,0.733732,1.8787,0.0015,0.0134385,"yes"
"ABCG2","WT","EX","NOTEST",0.396592,0.327718,-0.275199,0,1,1,"no"
"ABCG4","WT","EX","NOTEST",0.100296,0.0971101,-0.0465691,0,1,1,"no"
"ABCG5","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"ABCG8","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"ABHD1","WT","EX","NOTEST",0.140574,0.111762,-0.330909,0,1,1,"no"
"ABHD10","WT","EX","OK",8.00616,5.52676,-0.534677,-1.5553,0.00695,0.0464246,"yes"
"ABHD11","WT","EX","OK",3.40751,2.15073,-0.663891,-1.2136,0.0326,0.151397,"no"
"ABHD11-AS1","WT","EX","OK",1.1231,0.560603,-1.00244,-0.850944,0.138,0.406651,"no"
"ABHD12","WT","EX","OK",30.4161,40.293,0.405691,0.725432,0.21845,0.53157,"no"
"ABHD12B","WT","EX","NOTEST",0.0714797,0.0735206,0.0406151,0,1,1,"no"
"ABHD13","WT","EX","OK",3.45304,4.8171,0.4803,1.43989,0.01175,0.0700652,"no"
"ABHD14A","WT","EX","OK",10.6117,9.61063,-0.142955,-0.270645,0.63695,0.875339,"no"
"ABHD14A-ACY1","WT","EX","OK",0.123457,1.2166,3.30078,0.971083,0.34885,0.680487,"no"
"ABHD14B","WT","EX","OK",21.8353,25.2444,0.209303,0.697469,0.22635,0.543409,"no"
"ABHD15","WT","EX","OK",5.65125,9.39268,0.732967,2.25077,0.00015,0.00187565,"yes"
"ABHD16A","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"ABHD16B","WT","EX","OK",2.59217,2.33553,-0.15041,-0.273104,0.64155,0.877918,"no"
"ABHD17A","WT","EX","OK",28.8573,29.5817,0.0357722,0.115487,0.84585,0.959224,"no"
"ABHD17B","WT","EX","OK",3.50893,4.82529,0.459582,1.08066,0.0588,0.23041,"no"
"ABHD17C","WT","EX","OK",10.8531,16.5316,0.607116,1.89709,0.00075,0.00755981,"yes"
"ABHD2","WT","EX","OK",9.54567,12.8006,0.423292,1.43674,0.0128,0.0746686,"no"
"ABHD3","WT","EX","OK",1.79889,3.34693,0.895726,1.75098,0.00255,0.0208331,"yes"
"ABHD4","WT","EX","OK",39.3009,35.901,-0.130538,-0.447933,0.4365,0.752191,"no"
"ABHD5","WT","EX","OK",9.17167,26.1783,1.51312,5.14552,5e-05,0.000681395,"yes"
"ABHD6","WT","EX","OK",1.41457,2.24634,0.667208,1.30253,0.02455,0.123055,"no"
"ABHD8","WT","EX","OK",10.2502,10.6465,0.0547323,0.160874,0.78055,0.936689,"no"
"ABI1","WT","EX","OK",15.096,17.7375,0.232638,0.769961,0.1805,0.474609,"no"
"ABI2","WT","EX","OK",9.59541,8.10412,-0.24369,-0.817341,0.1545,0.43556,"no"
"ABI3","WT","EX","NOTEST",0,0.0132675,Inf,0,1,1,"no"
"ABI3BP","WT","EX","OK",46.514,51.4912,0.14666,0.484082,0.40415,0.726073,"no"
"ABL1","WT","EX","OK",53.1633,50.9965,-0.0600325,-0.196191,0.7256,0.916635,"no"
"ABL2","WT","EX","OK",3.85368,5.64324,0.550289,1.84592,0.00105,0.0100644,"yes"
"ABLIM1","WT","EX","OK",3.17245,8.69802,1.45509,4.59876,5e-05,0.000681395,"yes"
"ABLIM2","WT","EX","NOTEST",0.00691776,0.0196617,1.50701,0,1,1,"no"
"ABLIM3","WT","EX","OK",22.9034,21.4604,-0.0938864,-0.309418,0.587,0.847057,"no"
"ABO","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"ABR","WT","EX","OK",41.6656,30.906,-0.430971,-1.43045,0.01265,0.0739945,"no"
"ABRA","WT","EX","NOTEST",0,0.0068973,Inf,0,1,1,"no"
"ABRACL","WT","EX","OK",9.32539,13.6565,0.550351,1.30305,0.02645,0.129557,"no"
"ABT1","WT","EX","OK",6.1227,6.39592,0.0629834,0.17272,0.76055,0.928153,"no"
"ABTB1","WT","EX","OK",16.7745,25.4757,0.60285,1.97021,0.001,0.00964248,"yes"
"ABTB2","WT","EX","OK",2.75072,3.40465,0.307695,0.876405,0.1291,0.38905,"no"
"ACAA1","WT","EX","OK",19.4282,21.1485,0.122399,0.396864,0.49305,0.790695,"no"
"ACAA2","WT","EX","OK",26.6087,31.3761,0.237771,0.799232,0.16905,0.456609,"no"
"ACACA","WT","EX","OK",6.2156,5.23132,-0.248717,-0.83914,0.1458,0.420316,"no"
"ACACB","WT","EX","OK",1.66322,2.17764,0.388789,1.16555,0.0429,0.18411,"no"
"ACAD10","WT","EX","OK",5.76376,5.66182,-0.0257442,-0.0800094,0.893,0.974015,"no"
"ACAD11","WT","EX","OK",11.8551,8.06321,-0.556083,-0.847037,0.14255,0.415218,"no"
"ACAD8","WT","EX","OK",6.94486,7.10287,0.032455,0.0932391,0.87125,0.965847,"no"
"ACAD9","WT","EX","OK",10.4961,9.46419,-0.149301,-0.466331,0.411,0.732245,"no"
"ACADL","WT","EX","NOTEST",0.231631,0.395191,0.770725,0,1,1,"no"
"ACADM","WT","EX","OK",8.43802,11.891,0.494892,1.46574,0.01075,0.0652184,"no"
"ACADS","WT","EX","OK",10.8792,23.0335,1.08216,3.40918,5e-05,0.000681395,"yes"
"ACADSB","WT","EX","OK",3.87608,5.48535,0.500983,1.57896,0.00585,0.0403954,"yes"
"ACADVL","WT","EX","OK",69.2134,64.3582,-0.104928,-0.329335,0.57165,0.837592,"no"
"ACAN","WT","EX","OK",0.861045,0.767732,-0.165486,-0.365291,0.5462,0.824738,"no"
"ACAP1","WT","EX","NOTEST",0.272205,0.244594,-0.154306,0,1,1,"no"
"ACAP2","WT","EX","OK",15.3228,14.9453,-0.0359825,-0.123693,0.8302,0.953746,"no"
"ACAP3","WT","EX","OK",14.2033,11.0018,-0.368497,-1.17959,0.0369,0.166276,"no"
"ACAT1","WT","EX","OK",25.6142,33.061,0.368189,1.23951,0.03015,0.142483,"no"
"ACAT2","WT","EX","OK",5.65117,6.65244,0.235334,0.189545,0.7429,0.923279,"no"
"ACBD3","WT","EX","OK",20.2678,22.0313,0.120363,0.40908,0.476,0.780918,"no"
"ACBD4","WT","EX","OK",6.9389,6.96543,0.00550654,0.0147473,0.9816,0.99474,"no"
"ACBD5","WT","EX","OK",8.61592,9.37731,0.122168,0.399498,0.4892,0.788346,"no"
"ACBD6","WT","EX","OK",30.1577,24.925,-0.274934,-0.900621,0.12015,0.370479,"no"
"ACBD7","WT","EX","NOTEST",0.204912,0.360621,0.815475,0,1,1,"no"
"ACCS","WT","EX","OK",4.16241,4.02868,-0.0471118,-0.117967,0.83775,0.956398,"no"
"ACCSL","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"ACD","WT","EX","OK",5.94724,5.85943,-0.0214608,-0.0564361,0.9226,0.980636,"no"
"ACE","WT","EX","OK",1.26115,1.12023,-0.170945,-0.381154,0.50685,0.800185,"no"
"ACE2","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"ACER1","WT","EX","NOTEST",0,0.0190416,Inf,0,1,1,"no"
"ACER2","WT","EX","OK",0.686303,0.458118,-0.583125,-0.862744,0.1362,0.402727,"no"
"ACER3","WT","EX","OK",1.37779,2.77553,1.01041,2.79008,5e-05,0.000681395,"yes"
"ACHE","WT","EX","NOTEST",0.178884,0.152619,-0.229088,0,1,1,"no"
"ACIN1","WT","EX","OK",43.8188,39.7025,-0.142318,-0.37619,0.5133,0.804361,"no"
"ACKR1","WT","EX","NOTEST",0,0.0233338,Inf,0,1,1,"no"
"ACKR2","WT","EX","OK",0.164093,0.863955,2.39644,2.9936,1e-04,0.00129829,"yes"
"ACKR3","WT","EX","OK",42.3488,40.0298,-0.0812464,-0.272364,0.62935,0.870642,"no"
"ACKR4","WT","EX","OK",28.4162,9.3007,-1.6113,-1.89626,0.0045,0.0328691,"yes"
"ACLY","WT","EX","OK",38.2032,41.6839,0.125799,0.417531,0.46205,0.7723,"no"
"ACMSD","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"ACO1","WT","EX","OK",36.0841,36.6354,0.0218755,0.0745261,0.89545,0.974899,"no"
"ACO2","WT","EX","OK",26.7526,28.3384,0.0830755,0.22449,0.69095,0.900928,"no"
"ACOT1","WT","EX","OK",0.678335,1.08622,0.679253,0.524171,0.3689,0.697128,"no"
"ACOT11","WT","EX","OK",0.790035,0.517193,-0.611214,-0.890793,0.1242,0.377817,"no"
"ACOT12","WT","EX","OK",0.60001,0.249958,-1.2633,-0.419885,0.64035,0.877393,"no"
"ACOT13","WT","EX","OK",5.66984,4.56117,-0.313904,-0.465347,0.42165,0.7418,"no"
"ACOT2","WT","EX","OK",5.23721,8.42531,0.685931,1.73565,0.00285,0.0227647,"yes"
"ACOT4","WT","EX","OK",0.17657,0.600462,1.76583,1.67045,0.00935,0.0587714,"no"
"ACOT6","WT","EX","NOTEST",0.0216647,0,-Inf,0,1,1,"no"
"ACOT7","WT","EX","OK",18.7026,16.1133,-0.214987,-0.676507,0.24205,0.565105,"no"
"ACOT8","WT","EX","OK",12.702,11.2269,-0.178099,-0.253872,0.65,0.881991,"no"
"ACOT9","WT","EX","OK",18.3172,25.8537,0.497174,1.62788,0.0044,0.0323772,"yes"
"ACOX1","WT","EX","OK",5.66081,5.62045,-0.0103223,-0.0298302,0.9588,0.990089,"no"
"ACOX2","WT","EX","OK",8.59433,6.74492,-0.349584,-1.04046,0.0724,0.266909,"no"
"ACOX3","WT","EX","OK",5.56745,5.67013,0.0263649,0.0750302,0.8956,0.974899,"no"
"ACOXL","WT","EX","NOTEST",0.146823,0.127356,-0.205217,0,1,1,"no"
"ACP1","WT","EX","OK",30.5849,34.8679,0.189079,0.612411,0.2834,0.613225,"no"
"ACP2","WT","EX","OK",11.2153,14.3561,0.356197,0.841394,0.15295,0.433558,"no"
"ACP5","WT","EX","OK",1.49822,0.531971,-1.49383,-1.97282,0.002,0.0170191,"yes"
"ACP6","WT","EX","OK",3.05487,2.68472,-0.186337,-0.385292,0.5005,0.795616,"no"
"ACPP","WT","EX","NOTEST",0.396386,0.168703,-1.23242,0,1,1,"no"
"ACPT","WT","EX","NOTEST",0.0172066,0,-Inf,0,1,1,"no"
"ACR","WT","EX","NOTEST",0.0119294,0,-Inf,0,1,1,"no"
"ACRBP","WT","EX","NOTEST",0.132796,0.0614079,-1.11271,0,1,1,"no"
"ACRC","WT","EX","NOTEST",0.31818,0.437771,0.460337,0,1,1,"no"
"ACRV1","WT","EX","NOTEST",0.0454118,0.0194658,-1.22212,0,1,1,"no"
"ACSBG1","WT","EX","NOTEST",0.175334,0.216627,0.30511,0,1,1,"no"
"ACSBG2","WT","EX","NOTEST",0.118091,0.00638878,-4.20822,0,1,1,"no"
"ACSF2","WT","EX","OK",6.04112,6.63804,0.13594,0.380143,0.50115,0.796355,"no"
"ACSF3","WT","EX","OK",2.79057,3.09385,0.14884,0.389304,0.4863,0.787017,"no"
"ACSL1","WT","EX","OK",9.08898,30.9004,1.76544,5.79421,5e-05,0.000681395,"yes"
"ACSL3","WT","EX","OK",35.8709,27.5067,-0.383034,-1.29508,0.02355,0.119295,"no"
"ACSL4","WT","EX","OK",36.2109,30.5579,-0.244878,-0.845457,0.1452,0.419243,"no"
"ACSL5","WT","EX","OK",1.67651,1.63558,-0.0356561,-0.0773932,0.8927,0.974015,"no"
"ACSL6","WT","EX","NOTEST",0.084087,0.0958957,0.189582,0,1,1,"no"
"ACSM1","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"ACSM2A","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"ACSM2B","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"ACSM3","WT","EX","NOTEST",0.194251,0.197227,0.021934,0,1,1,"no"
"ACSM4","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"ACSM5","WT","EX","NOTEST",0.00589232,0,-Inf,0,1,1,"no"
"ACSM6","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"ACSS1","WT","EX","OK",4.2143,15.0926,1.84047,5.67528,5e-05,0.000681395,"yes"
"ACSS2","WT","EX","OK",8.90499,11.0343,0.309313,0.997015,0.0749,0.272617,"no"
"ACSS3","WT","EX","OK",8.54148,9.63484,0.173775,0.545471,0.33895,0.672781,"no"
"ACTA1","WT","EX","NOTEST",0.0122064,0.0269958,1.1451,0,1,1,"no"
"ACTA2","WT","EX","OK",116.512,236.019,1.01842,2.82108,5e-05,0.000681395,"yes"
"ACTA2-AS1","WT","EX","NOTEST",0.238301,0.198292,-0.265161,0,1,1,"no"
"ACTB","WT","EX","OK",1784.46,2848.59,0.674757,1.6036,0.0046,0.0334291,"yes"
"ACTBL2","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"ACTC1","WT","EX","NOTEST",0.00843359,0.0121958,0.532164,0,1,1,"no"
"ACTG1","WT","EX","OK",1344.9,1883.16,0.485661,1.22263,0.03185,0.148934,"no"
"ACTG1P17","WT","EX","NOTEST",0.027007,0.0196693,-0.45739,0,1,1,"no"
"ACTG1P20","WT","EX","NOTEST",0.311044,0.280063,-0.151369,0,1,1,"no"
"ACTG1P4","WT","EX","NOTEST",0.138213,0.268034,0.955524,0,1,1,"no"
"ACTG2","WT","EX","OK",14.6604,35.0815,1.25879,3.92494,5e-05,0.000681395,"yes"
"ACTL10","WT","EX","OK",0.389131,0.680562,0.806468,0.510706,0.38165,0.707133,"no"
"ACTL6A","WT","EX","OK",11.9487,12.7053,0.0885787,0.271785,0.63265,0.872686,"no"
"ACTL6B","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"ACTL7A","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"ACTL7B","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"ACTL8","WT","EX","NOTEST",0.041755,0.0211815,-0.979148,0,1,1,"no"
"ACTL9","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"ACTN1","WT","EX","OK",137.213,154.372,0.169996,0.53265,0.3473,0.679732,"no"
"ACTN1-AS1","WT","EX","NOTEST",0.211868,0.13112,-0.692272,0,1,1,"no"
"ACTN2","WT","EX","NOTEST",0.0440174,0.0913838,1.05386,0,1,1,"no"
"ACTN3","WT","EX","NOTEST",0.0227235,0.0204839,-0.149692,0,1,1,"no"
"ACTN4","WT","EX","OK",130.74,198.728,0.604097,1.85981,9e-04,0.00881002,"yes"
"ACTR10","WT","EX","OK",27.8894,31.2691,0.16502,0.559523,0.33765,0.671852,"no"
"ACTR1A","WT","EX","OK",50.7797,57.5216,0.179851,0.609952,0.2887,0.61867,"no"
"ACTR1B","WT","EX","OK",20.3903,20.8073,0.0292065,0.0978557,0.86525,0.963365,"no"
"ACTR2","WT","EX","OK",67.1653,82.8056,0.302014,1.00494,0.07865,0.281968,"no"
"ACTR3","WT","EX","OK",27.6643,42.2766,0.611832,2.07031,0.00035,0.00397201,"yes"
"ACTR3B","WT","EX","OK",1.6184,1.60378,-0.0130892,-0.0239479,0.9661,0.991294,"no"
"ACTR3BP2","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"ACTR3BP5","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"ACTR3C","WT","EX","NOTEST",0.0410819,0.0163455,-1.32961,0,1,1,"no"
"ACTR5","WT","EX","OK",1.5001,1.40553,-0.0939492,-0.176846,0.76035,0.928153,"no"
"ACTR6","WT","EX","OK",7.91817,9.26759,0.227028,0.634566,0.27405,0.601473,"no"
"ACTR8","WT","EX","OK",8.96269,8.46787,-0.0819331,-0.264636,0.6357,0.874647,"no"
"ACTRT1","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"ACTRT2","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"ACTRT3","WT","EX","OK",2.26567,2.42635,0.0988518,0.19435,0.73445,0.920982,"no"
"ACVR1","WT","EX","OK",27.1796,26.9837,-0.0104363,-0.0354913,0.9503,0.989841,"no"
"ACVR1B","WT","EX","OK",7.38239,8.98968,0.28418,0.935957,0.10135,0.333317,"no"
"ACVR1C","WT","EX","NOTEST",0.200547,0.0853957,-1.23171,0,1,1,"no"
"ACVR2A","WT","EX","OK",2.27336,2.55932,0.170932,0.243067,0.6745,0.894431,"no"
"ACVR2B","WT","EX","NOTEST",0.409886,0.446629,0.123855,0,1,1,"no"
"ACVR2B-AS1","WT","EX","NOTEST",0.15516,0.247448,0.67337,0,1,1,"no"
"ACVRL1","WT","EX","OK",6.96312,12.8237,0.881006,2.87537,5e-05,0.000681395,"yes"
"ACY1","WT","EX","OK",9.15157,7.44044,-0.298632,-0.606073,0.28235,0.611774,"no"
"ACY3","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"ACYP1","WT","EX","OK",10.2759,10.7659,0.0671982,0.140234,0.80945,0.9479,"no"
"ACYP2","WT","EX","OK",4.49328,6.16,0.455161,0.940103,0.10225,0.334995,"no"
"ADA","WT","EX","OK",3.32871,2.3504,-0.502054,-0.993937,0.08655,0.300837,"no"
"ADAD1","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"ADAD2","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"ADAL","WT","EX","OK",2.77612,2.35999,-0.23429,-0.457199,0.42375,0.743196,"no"
"ADAM10","WT","EX","OK",33.076,36.6695,0.148794,0.503258,0.3829,0.707923,"no"
"ADAM11","WT","EX","NOTEST",0.391562,0.231732,-0.756782,0,1,1,"no"
"ADAM12","WT","EX","OK",12.9817,3.5909,-1.85406,-5.27358,5e-05,0.000681395,"yes"
"ADAM15","WT","EX","OK",25.8722,25.9989,0.00704731,0.023379,0.96755,0.991704,"no"
"ADAM17","WT","EX","OK",12.8433,20.3559,0.664432,2.22126,2e-04,0.00243705,"yes"
"ADAM18","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"ADAM19","WT","EX","OK",4.46716,7.19873,0.688384,2.25545,1e-04,0.00129829,"yes"
"ADAM1A","WT","EX","OK",0.562177,0.578011,0.0400731,0.0605696,0.9166,0.979619,"no"
"ADAM2","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"ADAM20","WT","EX","NOTEST",0.00466893,0,-Inf,0,1,1,"no"
"ADAM20P1","WT","EX","NOTEST",0.049109,0.0281616,-0.802257,0,1,1,"no"
"ADAM21","WT","EX","NOTEST",0.273497,0.190431,-0.522256,0,1,1,"no"
"ADAM21P1","WT","EX","NOTEST",0.0294219,0.0274852,-0.0982361,0,1,1,"no"
"ADAM22","WT","EX","NOTEST",0.109648,0.0925818,-0.244079,0,1,1,"no"
"ADAM23","WT","EX","OK",4.4638,6.67914,0.581391,1.63746,0.0044,0.0323772,"yes"
"ADAM28","WT","EX","NOTEST",0.0990503,0.0657029,-0.592205,0,1,1,"no"
"ADAM29","WT","EX","NOTEST",0.0114204,0,-Inf,0,1,1,"no"
"ADAM30","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"ADAM32","WT","EX","NOTEST",0.20031,0.344307,0.781462,0,1,1,"no"
"ADAM33","WT","EX","OK",82.72,71.9977,-0.200285,-0.635004,0.2654,0.593914,"no"
"ADAM3A","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"ADAM5","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"ADAM6","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"ADAM7","WT","EX","NOTEST",0,0,0,0,1,1,"no"
