"test_id","sample_1","sample_2","status","value_1","value_2","log2.fold_change.","test_stat","p_value","q_value","significant"
"LOC643623","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC643711","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC643733","WT","EX","OK",1.98565,1.6134,-0.299503,-0.385194,0.5056,0.799446,"no"
"LOC643770","WT","EX","NOTEST",0.0225845,0.0155295,-0.540326,0,1,1,"no"
"LOC643802","WT","EX","NOTEST",0,0.0201334,Inf,0,1,1,"no"
"LOC643923","WT","EX","NOTEST",0,0.0305862,Inf,0,1,1,"no"
"LOC644070","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC644145","WT","EX","NOTEST",0.152816,0.34496,1.17463,0,1,1,"no"
"LOC644172","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC644189","WT","EX","NOTEST",0.0114843,0,-Inf,0,1,1,"no"
"LOC644285","WT","EX","NOTEST",0.10444,0.17914,0.778412,0,1,1,"no"
"LOC644554","WT","EX","NOTEST",0.134389,0,-Inf,0,1,1,"no"
"LOC644656","WT","EX","OK",1.60977,1.77881,0.144052,0.209669,0.71715,0.912955,"no"
"LOC644669","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC644762","WT","EX","NOTEST",0,0.0387371,Inf,0,1,1,"no"
"LOC644838","WT","EX","NOTEST",0.0178034,0,-Inf,0,1,1,"no"
"LOC644919","WT","EX","NOTEST",0.145742,0.207508,0.509753,0,1,1,"no"
"LOC644936","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC645166","WT","EX","OK",19.0181,15.4894,-0.296086,-0.491863,0.3919,0.715837,"no"
"LOC645354","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC645382","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC645434","WT","EX","NOTEST",0.0541922,0.0763447,0.494443,0,1,1,"no"
"LOC645513","WT","EX","OK",1.6114,1.95785,0.280956,0.0556237,0.87285,0.966651,"no"
"LOC645752","WT","EX","NOTEST",0.0540903,0.0261388,-1.04917,0,1,1,"no"
"LOC645949","WT","EX","NOTEST",0.0190753,0.0199964,0.0680374,0,1,1,"no"
"LOC646029","WT","EX","NOTEST",0.0105384,0.0106676,0.0175748,0,1,1,"no"
"LOC646214","WT","EX","NOTEST",0.0752967,0.0647476,-0.217759,0,1,1,"no"
"LOC646268","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC646471","WT","EX","OK",2.25301,2.29655,0.0276158,0.0335849,0.955,0.990089,"no"
"LOC646522","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC646626","WT","EX","NOTEST",0.166623,0.239127,0.52119,0,1,1,"no"
"LOC646736","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC646743","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC646762","WT","EX","OK",1.87428,1.8988,0.0187494,0.0483746,0.9295,0.982837,"no"
"LOC646813","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC646903","WT","EX","OK",0.790858,0.419534,-0.914632,-1.15004,0.0504,0.207856,"no"
"LOC646938","WT","EX","NOTEST",0,0.0805283,Inf,0,1,1,"no"
"LOC647323","WT","EX","NOTEST",0.0111362,0,-Inf,0,1,1,"no"
"LOC647859","WT","EX","NOTEST",0.0631618,0.0600009,-0.0740677,0,1,1,"no"
"LOC648987","WT","EX","OK",1.24591,1.25899,0.0150708,0.00943869,0.98745,0.995518,"no"
"LOC649133","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC649324","WT","EX","NOTEST",0,0.0162337,Inf,0,1,1,"no"
"LOC649352","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC650226","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC650293","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC652276","WT","EX","OK",0.889252,0.511645,-0.797448,-1.23966,0.0318,0.148754,"no"
"LOC653160","WT","EX","OK",2.37099,1.80986,-0.389607,-0.701515,0.23315,0.551922,"no"
"LOC653513","WT","EX","OK",2.33353,0.973258,-1.26162,-0.0803599,0.429,0.747057,"no"
"LOC653602","WT","EX","NOTEST",0.0430629,0.115245,1.42019,0,1,1,"no"
"LOC653653","WT","EX","OK",2.95934,2.86626,-0.0461074,-0.0786511,0.89115,0.973591,"no"
"LOC653712","WT","EX","NOTEST",0.299768,0.148735,-1.0111,0,1,1,"no"
"LOC653786","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC654342","WT","EX","OK",7.00293,6.87121,-0.0273942,-0.0515969,0.927,0.981995,"no"
"LOC654841","WT","EX","NOTEST",0.447439,0.433252,-0.0464823,0,1,1,"no"
"LOC727751","WT","EX","NOTEST",0.170293,0.0466861,-1.86695,0,1,1,"no"
"LOC727896","WT","EX","NOTEST",0.16706,0.187245,0.164563,0,1,1,"no"
"LOC727924","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC728024","WT","EX","NOTEST",0.346567,0.429975,0.311118,0,1,1,"no"
"LOC728040","WT","EX","NOTEST",0,0,0,0,1,1,"no"
"LOC728084","WT","EX","NOTEST",0.00741687,0.00810428,0.127874,0,1,1,"no"
"LOC728095","WT","EX","NOTEST",0,0.03005,Inf,0,1,1,"no"
"LOC728175","WT","EX","NOTEST",0.0246877,0.0199647,-0.306344,0,1,1,"no"
"LOC728323","WT","EX","OK",0.909783,0.819305,-0.151122,-0.203397,0.7182,0.91357,"no"
"LOC728392","WT","EX","OK",32.445,16.1056,-1.01043,-3.10657,5e-05,0.000681395,"yes"
"LOC728485","WT","EX","NOTEST",0.0766602,0.0713393,-0.103782,0,1,1,"no"
"LOC728554","WT","EX","OK",1.9866,2.20239,0.148769,0.270772,0.6341,0.873565,"no"
"LOC728613","WT","EX","OK",0.929068,0.630236,-0.559892,-0.901719,0.11985,0.369908,"no"
"LOC728673","WT","EX","NOTEST",0.327509,0.319273,-0.0367464,0,1,1,"no"
