"","PC1","PC2","PC3","group"
"EX_0",-46.306920838385,97.2917508045315,-29.2531234655049,"EX_0"
"EX_1",-73.36091405262,-39.703304125659,-60.3936597424439,"EX_1"
"EX_2",-93.2829135079315,-39.003225279729,68.7940764509537,"EX_2"
"WT_0",66.9690926479322,74.2702227884876,11.5598303776362,"WT_0"
"WT_1",79.0482688621157,-66.3979914345025,-63.0628770550165,"WT_1"
"WT_2",66.9333868888885,-26.4574527531263,72.3557534343769,"WT_2"
