"","V1","V2","V3","label"
"1",-275.593115245091,14.0335335951517,-49.9059728148157,"1"
"2",-273.888686430122,24.4580392440702,-47.036995345406,"1"
"3",-270.009693207294,-1.03514456109975,-38.5925969562069,"1"
"4",-262.734816955008,-32.6460722451164,-14.4611164034428,"0"
"5",-272.45285899766,10.2117568435312,-52.7964889145791,"1"
"6",-270.802158401971,4.44638244487669,-47.4732190197974,"1"
"7",-269.11028222316,2.06526339604193,-50.0992972014345,"1"
"8",-269.088803087143,21.5196939047529,-51.1357054823887,"1"
"9",-269.009783151749,16.6002735633511,-53.14550932431,"1"
"10",-267.282708422639,32.3130905321787,-51.5693203225438,"1"
"11",-267.485737680345,27.4291083458231,-54.2500569021561,"1"
"12",-244.733471434083,-220.433679353959,40.2295441548151,"4"
"13",-241.596494297707,-236.116960635143,53.8994472110905,"4"
"14",-243.119186146516,-204.829326457892,40.6209561398438,"4"
"15",-243.985374477434,-169.814959655693,30.6216073387171,"4"
"16",-237.245671707176,-254.866992229853,57.479515668357,"4"
"17",-236.293414655588,-253.302199136949,54.6130806007282,"4"
"18",-234.129651435828,-283.725499568735,59.2384320586802,"4"
"19",-257.854666093997,73.4986827306397,-45.6372548744368,"0"
"20",-260.860621560665,44.6493070111937,-59.5857381516173,"1"
"21",-256.397737035526,64.0088130907461,-50.5505327418308,"0"
"22",-249.745102010027,15.8727502012726,-30.5258903650854,"0"
"23",-257.01573848697,50.8872794288091,-59.6784152987162,"1"
"24",-243.935035767924,-8.34656330072044,-17.8309073316728,"0"
"25",-256.190667331431,60.1047438634985,-61.2396760071054,"1"
"26",-245.264892699179,21.9022658375209,-33.7340079959106,"0"
"27",-254.154587190632,69.0334304728104,-61.1830312075121,"1"
"28",-246.454026818274,36.696240767127,-42.1556438414156,"0"
"29",-250.23893582629,25.0457580797284,-55.2211385048126,"1"
"30",-209.599827437218,-3.02356600943638,100.800489862839,"2"
"31",-208.675886860415,57.1753768020894,114.153704551858,"2"
"32",-246.804550861352,29.203209358397,-54.3250379859679,"1"
"33",-246.412750328097,55.5040019158366,-58.1419009104258,"1"
"34",-236.812539451036,0.535928983439581,-29.0353224999475,"0"
"35",-240.721765118848,68.2738981382546,-47.9821643399332,"0"
"36",-245.425252443595,61.3025479014398,-64.5567005808991,"1"
"37",-238.272355750783,63.359901264367,-45.9021525463627,"0"
"38",-242.857013416522,53.5613051674481,-63.0742307078958,"1"
"39",-239.807398791492,16.4830662693043,-54.2296468355919,"1"
"40",-239.172974903324,42.2455001275652,-57.0123066389382,"1"
"41",-239.254618569037,37.5422654491583,-59.9793503691897,"1"
"42",-240.286734851901,45.3164204759538,-69.0863651716635,"1"
"43",-229.061656607202,-0.636789370073652,-36.6832280399636,"0"
"44",-231.013540769695,50.8730034285973,-46.9037002462252,"0"
"45",-231.121727101656,59.6470630173618,-50.89435109082,"0"
"46",-235.472834598222,56.3759515070681,-65.5290530462923,"1"
"47",-228.952966632686,38.3142614511003,-45.9978926020999,"0"
"48",-229.591222839171,27.5461947059055,-51.9250994432123,"1"
"49",-227.930479457101,36.9613420180707,-50.2052833289484,"0"
"50",-222.641349195079,-1.10045823018339,-38.6882944913878,"0"
"51",-221.165412057078,3.51287375764737,-34.5085121832423,"0"
"52",-220.605318452893,17.1107829292496,-37.7253744357324,"0"
"53",-220.49313783519,46.3469799406389,-38.0682929699893,"0"
"54",-218.558947429397,13.9070475941203,-40.9588292635816,"0"
"55",-227.14611027256,64.2525943726162,-67.3896751010475,"1"
"56",-217.338654598403,-8.92353289548119,-35.7438791517956,"0"
"57",-222.868992719768,37.7821129675174,-61.0503982888038,"1"
"58",-213.85785911723,14.294856317915,-39.3773763293848,"0"
"59",-216.87852851167,58.7077350588888,-48.7523109800989,"0"
"60",-216.206395125542,35.2530144330995,-50.6179674420262,"0"
"61",-219.710689180919,49.6162143272082,-65.7181866885323,"1"
"62",-192.648517044643,-224.82181524227,31.4785588073637,"4"
"63",-191.265227091443,-201.25805991817,33.5953677209858,"4"
"64",-214.858970905108,27.52430007436,-60.9714359586892,"1"
"65",-187.187376448772,-290.368082170261,46.1880392813113,"4"
"66",-188.797153599351,-264.707066969448,34.6269537372718,"4"
"67",-184.660778491871,-317.439397002547,55.9514962575466,"4"
"68",-186.579680314556,-244.033773956389,31.9985695603094,"4"
"69",-185.443617969439,-259.516728535598,38.8622857281741,"4"
"70",-188.029559014224,-227.138293355447,23.7639073595974,"4"
"71",-184.713591616473,-265.923387563562,32.001055059733,"4"
"72",-179.109672501022,-308.668918605532,52.3673613748753,"4"
"73",-176.01495794668,-330.56995148847,60.6978438813344,"4"
"74",-179.044227426956,-287.272534614514,42.4434938778625,"4"
"75",-186.224246638695,-188.984802022847,5.0977046321302,"4"
"76",-174.72143387435,-328.079399825901,47.1140616446603,"4"
"77",-175.562640314462,-294.154741946589,47.2533263799325,"4"
"78",-179.131010324962,-242.272952569897,24.9306270252778,"4"
"79",-175.277570015291,-281.52065619165,38.7814090907085,"4"
"80",-182.062837928438,-174.190172613018,1.41500425701298,"4"
"81",-199.736230567118,42.5542641298183,-68.8700406316262,"1"
"82",-197.609210387117,-5.27254839054661,-62.5882572557561,"1"
"83",-197.355484168858,19.9583980412044,-68.1475065254479,"1"
"84",-198.499581874904,25.2586776592406,-74.0564030654004,"1"
"85",-195.10923553035,20.5685231239537,-68.427621336017,"1"
"86",-191.754428403632,19.9655325087461,-63.1873668396918,"0"
"87",-194.016880532836,45.2215640059158,-70.7036125844902,"1"
"88",-192.554366830554,30.3374074640326,-69.7350876260587,"1"
"89",-195.676800334781,47.4429886519683,-80.7755214515316,"1"
"90",-189.94982738673,14.7482186366228,-69.5929563823286,"1"
"91",-187.823944739757,0.750968575077546,-62.2560489854394,"1"
"92",-188.846624797693,30.6436859416769,-73.113043880001,"1"
"93",-188.542801833451,20.5313220346303,-72.2554192807924,"1"
"94",-179.721172243832,-19.5742237691655,-47.5961988363287,"0"
"95",-189.794462835965,54.5307874466687,-82.4483301141723,"1"
"96",-182.419417518564,9.36202434664849,-65.3934117655552,"1"
"97",-182.520083195923,-6.82283633207335,-66.4418738328109,"1"
"98",-182.247254427676,-2.8480525565733,-67.0364837366099,"1"
"99",-183.986509088331,36.8350146712102,-75.7093565066768,"1"
"100",-182.697385917332,18.3066027224679,-78.2843431627822,"1"
"101",-173.002839949423,-6.99597545741938,-51.1236587608485,"0"
"102",-181.025729038133,40.2703375088262,-79.4407998330786,"1"
"103",-178.148676696351,-7.06947254002796,-71.613168696244,"1"
"104",-179.392183278839,38.5654206737252,-79.4742427387268,"1"
"105",-176.886759994541,29.7867399175418,-74.6443485627118,"1"
"106",-175.341207771433,15.4705520453247,-72.5152064577961,"1"
"107",-176.627641667388,38.9930987970415,-80.8240639878005,"1"
"108",-171.673469056192,-19.3580096239727,-64.4490892177328,"1"
"109",-173.094579759842,10.3802628043613,-74.6575955570187,"1"
"110",-174.779855013221,52.402500829639,-80.3018057244127,"1"
"111",-166.306529580307,60.6597424857952,-54.1798356588276,"0"
"112",-162.250375396874,1.45085753442206,-42.9784646017956,"0"
"113",-157.766106970228,-17.6234715669927,-34.9559297878862,"0"
"114",-159.798272136633,-3.16347350551811,-40.1172981752289,"0"
"115",-125.73155628564,15.1992806206492,113.71910512273,"2"
"116",-127.987198829672,53.9328687462138,87.5789615685631,"2"
"117",-121.345269014657,-19.8196059119616,117.240479466851,"2"
"118",-120.919188250975,-3.56733938281931,108.044431284147,"2"
"119",-118.339577777525,-42.5980744373954,125.101648760269,"2"
"120",-117.994993142972,-54.4880560907221,124.823408450101,"2"
"121",-121.56684827482,6.56201989644292,82.7772765718602,"2"
"122",-118.005852651216,4.39508332836225,98.5214482326581,"2"
"123",-119.553059979446,12.3057957365885,82.3544912168466,"2"
"124",-147.267895239395,-19.5738314834776,-44.3105105823054,"0"
"125",-116.797422162436,14.4235013851949,89.8262148775216,"2"
"126",-148.097243649409,1.25456538228341,-51.7746712152326,"0"
"127",-155.215991036315,13.8632529218454,-78.9776532611854,"1"
"128",-156.049734306103,23.3366162179164,-86.7167491193021,"1"
"129",-155.190297183502,23.2714364004314,-86.497463969676,"1"
"130",-152.034218293505,12.7447514491036,-80.1825863538186,"1"
